date,hits,search_term
5/3/2015,40,Artificial intelligence
5/10/2015,42,Artificial intelligence
5/17/2015,43,Artificial intelligence
5/24/2015,41,Artificial intelligence
5/31/2015,40,Artificial intelligence
6/7/2015,37,Artificial intelligence
6/14/2015,38,Artificial intelligence
6/21/2015,42,Artificial intelligence
6/28/2015,44,Artificial intelligence
7/5/2015,44,Artificial intelligence
7/12/2015,40,Artificial intelligence
7/19/2015,39,Artificial intelligence
7/26/2015,40,Artificial intelligence
8/2/2015,37,Artificial intelligence
8/9/2015,40,Artificial intelligence
8/16/2015,38,Artificial intelligence
8/23/2015,36,Artificial intelligence
8/30/2015,39,Artificial intelligence
9/6/2015,39,Artificial intelligence
9/13/2015,44,Artificial intelligence
9/20/2015,42,Artificial intelligence
9/27/2015,41,Artificial intelligence
10/4/2015,38,Artificial intelligence
10/11/2015,40,Artificial intelligence
10/18/2015,38,Artificial intelligence
10/25/2015,40,Artificial intelligence
11/1/2015,40,Artificial intelligence
11/8/2015,40,Artificial intelligence
11/15/2015,42,Artificial intelligence
11/22/2015,38,Artificial intelligence
11/29/2015,37,Artificial intelligence
12/6/2015,37,Artificial intelligence
12/13/2015,38,Artificial intelligence
12/20/2015,38,Artificial intelligence
12/27/2015,36,Artificial intelligence
1/3/2016,41,Artificial intelligence
1/10/2016,38,Artificial intelligence
1/17/2016,39,Artificial intelligence
1/24/2016,40,Artificial intelligence
1/31/2016,38,Artificial intelligence
2/7/2016,37,Artificial intelligence
2/14/2016,38,Artificial intelligence
2/21/2016,38,Artificial intelligence
2/28/2016,38,Artificial intelligence
3/6/2016,48,Artificial intelligence
3/13/2016,51,Artificial intelligence
3/20/2016,66,Artificial intelligence
3/27/2016,57,Artificial intelligence
4/3/2016,47,Artificial intelligence
4/10/2016,44,Artificial intelligence
4/17/2016,43,Artificial intelligence
4/24/2016,42,Artificial intelligence
5/1/2016,43,Artificial intelligence
5/8/2016,45,Artificial intelligence
5/15/2016,48,Artificial intelligence
5/22/2016,43,Artificial intelligence
5/29/2016,46,Artificial intelligence
6/5/2016,48,Artificial intelligence
6/12/2016,44,Artificial intelligence
6/19/2016,42,Artificial intelligence
6/26/2016,41,Artificial intelligence
7/3/2016,38,Artificial intelligence
7/10/2016,36,Artificial intelligence
7/17/2016,37,Artificial intelligence
7/24/2016,36,Artificial intelligence
7/31/2016,37,Artificial intelligence
8/7/2016,36,Artificial intelligence
8/14/2016,33,Artificial intelligence
8/21/2016,37,Artificial intelligence
8/28/2016,38,Artificial intelligence
9/4/2016,40,Artificial intelligence
9/11/2016,42,Artificial intelligence
9/18/2016,41,Artificial intelligence
9/25/2016,48,Artificial intelligence
10/2/2016,48,Artificial intelligence
10/9/2016,50,Artificial intelligence
10/16/2016,49,Artificial intelligence
10/23/2016,50,Artificial intelligence
10/30/2016,50,Artificial intelligence
11/6/2016,52,Artificial intelligence
11/13/2016,54,Artificial intelligence
11/20/2016,54,Artificial intelligence
11/27/2016,54,Artificial intelligence
12/4/2016,54,Artificial intelligence
12/11/2016,50,Artificial intelligence
12/18/2016,52,Artificial intelligence
12/25/2016,46,Artificial intelligence
1/1/2017,52,Artificial intelligence
1/8/2017,56,Artificial intelligence
1/15/2017,53,Artificial intelligence
